id	container	version	algorithm	encryption	kdf	resource	passphrase	without_passphrase	with_passphrase	golden_id	coverage	provenance	wrong_passphrase
ppk-v2-ed25519-aes256-cbc	PPK	2	ED25519	aes256-cbc	historical-sha1	ppk/v2-ed25519-aes256-cbc.ppk	123456	NEEDS_PASSPHRASE:PuTTY	SUCCESS	ppk-ed25519	FROZEN_UPSTREAM	sshj-v0.40.0-test-ed25519-puttygen-protected	INVALID_PASSPHRASE
ppk-v3-rsa-argon2d	PPK	3	RSA	aes256-cbc	Argon2d-1.3	ppk/v3-rsa-argon2d-aes256-cbc.ppk	changeit	NEEDS_PASSPHRASE:PuTTY	SUCCESS	ppk-rsa-2048	FROZEN_UPSTREAM	sshj-v0.40.0-PuTTYKeyFileTest	INVALID_PASSPHRASE
ppk-v3-rsa-argon2i	PPK	3	RSA	aes256-cbc	Argon2i-1.3	ppk/v3-rsa-argon2i-aes256-cbc.ppk	changeit	NEEDS_PASSPHRASE:PuTTY	SUCCESS	ppk-rsa-2048	FROZEN_UPSTREAM	sshj-v0.40.0-PuTTYKeyFileTest	INVALID_PASSPHRASE
ppk-v3-rsa-argon2id	PPK	3	RSA	aes256-cbc	Argon2id-1.3	ppk/v3-rsa-argon2id-aes256-cbc.ppk	changeit	NEEDS_PASSPHRASE:PuTTY	SUCCESS	ppk-rsa-2048	FROZEN_UPSTREAM	sshj-v0.40.0-PuTTYKeyFileTest	INVALID_PASSPHRASE
ppk-v3-ecdsa-none	PPK	3	ECDSA	none	none	ppk/v3-ecdsa-none.ppk	-	UNSUPPORTED_ALGORITHM	UNSUPPORTED_ALGORITHM	-	FROZEN_UPSTREAM	sshj-v0.40.0-PuTTYKeyFileTest	-
pem-pkcs1-rsa-none	PEM_PKCS1	1	RSA	none	none	pem/pkcs1-rsa-none.pem	-	SUCCESS	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_UPSTREAM	sshj-v0.40.0-keyformats-pkcs1-rsa	-
pem-pkcs1-rsa-aes128-cbc	PEM_PKCS1	1	RSA	AES-128-CBC	EVP_BytesToKey-MD5	pem/pkcs1-rsa-encrypted.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-2048-encrypted	FROZEN_UPSTREAM	sshj-v0.40.0-keyformats-pkcs1-rsa-encrypted	INVALID_PASSPHRASE
pem-pkcs8-rsa-none	PEM_PKCS8	8	RSA	none	none	pem/pkcs8-rsa-none.pem	-	SUCCESS	SUCCESS	pem-pkcs8-rsa-2048	FROZEN_UPSTREAM	sshj-v0.40.0-keyformats-pkcs8-rsa-2048	-
pem-pkcs8-rsa-pbes2-aes128-cbc	PEM_PKCS8	8	RSA	AES-128-CBC	PBES2-PBKDF2-HMAC-SHA256	pem/pkcs8-rsa-encrypted.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs8-rsa-2048-encrypted	FROZEN_UPSTREAM	sshj-v0.40.0-keyformats-pkcs8-rsa-2048-encrypted	INVALID_PASSPHRASE
pem-pkcs8-ecdsa-none	PEM_PKCS8	8	ECDSA	none	none	pem/pkcs8-ecdsa-none.pem	-	UNSUPPORTED_ALGORITHM	UNSUPPORTED_ALGORITHM	-	FROZEN_UPSTREAM	sshj-v0.40.0-keyformats-pkcs8-ecdsa	-
pem-pkcs8-dsa-none	PEM_PKCS8	8	DSA	none	none	pem/pkcs8-dsa-none.pem	-	UNSUPPORTED_ALGORITHM	UNSUPPORTED_ALGORITHM	-	FROZEN_UPSTREAM	sshj-v0.40.0-keyformats-pkcs8-dsa	-
openssh-rsa-3072-none	OPENSSH	1	RSA	none	none	openssh/id_rsa_3072	-	SUCCESS	SUCCESS	ssh-key-rsa-3072	FROZEN_UPSTREAM	vendored-ssh-key-0.6.7-keyguard	-
openssh-rsa-3072-aes256-ctr	OPENSSH	1	RSA	aes256-ctr	bcrypt	openssh/id_rsa_3072.aes256-ctr.enc	hunter42	NEEDS_PASSPHRASE:OpenSSH	SUCCESS	ssh-key-rsa-3072	FROZEN_DERIVED	OpenSSH-ssh-keygen-JDK21-host-conversion-of-vendored-key	INVALID_PASSPHRASE
openssh-dsa-1024-none	OPENSSH	1	DSA	none	none	openssh/id_dsa_1024	-	UNSUPPORTED_ALGORITHM	UNSUPPORTED_ALGORITHM	-	FROZEN_UPSTREAM	vendored-ssh-key-0.6.7-keyguard	-
openssh-ecdsa-p256-none	OPENSSH	1	ECDSA	none	none	openssh/id_ecdsa_p256	-	UNSUPPORTED_ALGORITHM	UNSUPPORTED_ALGORITHM	-	FROZEN_UPSTREAM	vendored-ssh-key-0.6.7-keyguard	-
ppk-v1-ed25519-aes256-cbc	PPK	1	ED25519	aes256-cbc	historical-sha1	ppk/v1-ed25519-aes256-cbc.ppk	123456	NEEDS_PASSPHRASE:PuTTY	SUCCESS	ppk-ed25519	FROZEN_DERIVED	sshj-v0.40.0-v2-encrypted-fixture-header-rewritten	INVALID_PASSPHRASE
ppk-v3-rsa-none	PPK	3	RSA	none	none	ppk/v3-rsa-none.ppk	-	SUCCESS	SUCCESS	ppk-rsa-1024	FROZEN_DERIVED	sshj-v0.40.0-v2-payload-with-valid-v3-HMAC-SHA256	-
ppk-v3-ed25519-none	PPK	3	ED25519	none	none	ppk/v3-ed25519-none.ppk	-	SUCCESS	SUCCESS	ppk-ed25519	FROZEN_DERIVED	sshj-v0.40.0-v2-payload-with-valid-v3-HMAC-SHA256	-
pem-legacy-aes-128-cbc	PEM_PKCS1	1	RSA	AES-128-CBC	EVP_BytesToKey-MD5	legacy-pem/aes-128-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-aes-128-cfb	PEM_PKCS1	1	RSA	AES-128-CFB	EVP_BytesToKey-MD5	legacy-pem/aes-128-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-aes-128-ofb	PEM_PKCS1	1	RSA	AES-128-OFB	EVP_BytesToKey-MD5	legacy-pem/aes-128-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-aes-128-ecb	PEM_PKCS1	1	RSA	AES-128-ECB	EVP_BytesToKey-MD5	legacy-pem/aes-128-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-aes-192-cbc	PEM_PKCS1	1	RSA	AES-192-CBC	EVP_BytesToKey-MD5	legacy-pem/aes-192-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-aes-192-cfb	PEM_PKCS1	1	RSA	AES-192-CFB	EVP_BytesToKey-MD5	legacy-pem/aes-192-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-aes-192-ofb	PEM_PKCS1	1	RSA	AES-192-OFB	EVP_BytesToKey-MD5	legacy-pem/aes-192-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-aes-192-ecb	PEM_PKCS1	1	RSA	AES-192-ECB	EVP_BytesToKey-MD5	legacy-pem/aes-192-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-aes-256-cbc	PEM_PKCS1	1	RSA	AES-256-CBC	EVP_BytesToKey-MD5	legacy-pem/aes-256-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-aes-256-cfb	PEM_PKCS1	1	RSA	AES-256-CFB	EVP_BytesToKey-MD5	legacy-pem/aes-256-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-aes-256-ofb	PEM_PKCS1	1	RSA	AES-256-OFB	EVP_BytesToKey-MD5	legacy-pem/aes-256-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-aes-256-ecb	PEM_PKCS1	1	RSA	AES-256-ECB	EVP_BytesToKey-MD5	legacy-pem/aes-256-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-des-cbc	PEM_PKCS1	1	RSA	DES-CBC	EVP_BytesToKey-MD5	legacy-pem/des-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-des-cfb	PEM_PKCS1	1	RSA	DES-CFB	EVP_BytesToKey-MD5	legacy-pem/des-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-des-ofb	PEM_PKCS1	1	RSA	DES-OFB	EVP_BytesToKey-MD5	legacy-pem/des-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-des-ecb	PEM_PKCS1	1	RSA	DES-ECB	EVP_BytesToKey-MD5	legacy-pem/des-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-des-ede-cbc	PEM_PKCS1	1	RSA	DES-EDE-CBC	EVP_BytesToKey-MD5	legacy-pem/des-ede-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-des-ede-cfb	PEM_PKCS1	1	RSA	DES-EDE-CFB	EVP_BytesToKey-MD5	legacy-pem/des-ede-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-des-ede-ofb	PEM_PKCS1	1	RSA	DES-EDE-OFB	EVP_BytesToKey-MD5	legacy-pem/des-ede-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-des-ede	PEM_PKCS1	1	RSA	DES-EDE	EVP_BytesToKey-MD5	legacy-pem/des-ede.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-des-ede-ecb	PEM_PKCS1	1	RSA	DES-EDE-ECB	EVP_BytesToKey-MD5	legacy-pem/des-ede-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-des-ede3-cbc	PEM_PKCS1	1	RSA	DES-EDE3-CBC	EVP_BytesToKey-MD5	legacy-pem/des-ede3-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-des-ede3-cfb	PEM_PKCS1	1	RSA	DES-EDE3-CFB	EVP_BytesToKey-MD5	legacy-pem/des-ede3-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-des-ede3-ofb	PEM_PKCS1	1	RSA	DES-EDE3-OFB	EVP_BytesToKey-MD5	legacy-pem/des-ede3-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-des-ede3	PEM_PKCS1	1	RSA	DES-EDE3	EVP_BytesToKey-MD5	legacy-pem/des-ede3.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-des-ede3-ecb	PEM_PKCS1	1	RSA	DES-EDE3-ECB	EVP_BytesToKey-MD5	legacy-pem/des-ede3-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-bf-cbc	PEM_PKCS1	1	RSA	BF-CBC	EVP_BytesToKey-MD5	legacy-pem/bf-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-bf-cfb	PEM_PKCS1	1	RSA	BF-CFB	EVP_BytesToKey-MD5	legacy-pem/bf-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-bf-ofb	PEM_PKCS1	1	RSA	BF-OFB	EVP_BytesToKey-MD5	legacy-pem/bf-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-bf-ecb	PEM_PKCS1	1	RSA	BF-ECB	EVP_BytesToKey-MD5	legacy-pem/bf-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-rc2-cbc	PEM_PKCS1	1	RSA	RC2-CBC	EVP_BytesToKey-MD5	legacy-pem/rc2-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-rc2-cfb	PEM_PKCS1	1	RSA	RC2-CFB	EVP_BytesToKey-MD5	legacy-pem/rc2-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-rc2-ofb	PEM_PKCS1	1	RSA	RC2-OFB	EVP_BytesToKey-MD5	legacy-pem/rc2-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-rc2-ecb	PEM_PKCS1	1	RSA	RC2-ECB	EVP_BytesToKey-MD5	legacy-pem/rc2-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-rc2-40-cbc	PEM_PKCS1	1	RSA	RC2-40-CBC	EVP_BytesToKey-MD5	legacy-pem/rc2-40-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-rc2-40-cfb	PEM_PKCS1	1	RSA	RC2-40-CFB	EVP_BytesToKey-MD5	legacy-pem/rc2-40-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-rc2-40-ofb	PEM_PKCS1	1	RSA	RC2-40-OFB	EVP_BytesToKey-MD5	legacy-pem/rc2-40-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-rc2-40-ecb	PEM_PKCS1	1	RSA	RC2-40-ECB	EVP_BytesToKey-MD5	legacy-pem/rc2-40-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-rc2-64-cbc	PEM_PKCS1	1	RSA	RC2-64-CBC	EVP_BytesToKey-MD5	legacy-pem/rc2-64-cbc.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-legacy-rc2-64-cfb	PEM_PKCS1	1	RSA	RC2-64-CFB	EVP_BytesToKey-MD5	legacy-pem/rc2-64-cfb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-rc2-64-ofb	PEM_PKCS1	1	RSA	RC2-64-OFB	EVP_BytesToKey-MD5	legacy-pem/rc2-64-ofb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	MALFORMED_KEY
pem-legacy-rc2-64-ecb	PEM_PKCS1	1	RSA	RC2-64-ECB	EVP_BytesToKey-MD5	legacy-pem/rc2-64-ecb.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha1-aes128	PEM_PKCS8	8	RSA	AES-128-CBC	PBES2-PBKDF2-HMAC-SHA1	pkcs8-pbe/pbes2-hmac-sha1-aes128.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha1-aes256	PEM_PKCS8	8	RSA	AES-256-CBC	PBES2-PBKDF2-HMAC-SHA1	pkcs8-pbe/pbes2-hmac-sha1-aes256.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha224-aes128	PEM_PKCS8	8	RSA	AES-128-CBC	PBES2-PBKDF2-HMAC-SHA224	pkcs8-pbe/pbes2-hmac-sha224-aes128.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha224-aes256	PEM_PKCS8	8	RSA	AES-256-CBC	PBES2-PBKDF2-HMAC-SHA224	pkcs8-pbe/pbes2-hmac-sha224-aes256.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha256-aes128	PEM_PKCS8	8	RSA	AES-128-CBC	PBES2-PBKDF2-HMAC-SHA256	pkcs8-pbe/pbes2-hmac-sha256-aes128.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha256-aes256	PEM_PKCS8	8	RSA	AES-256-CBC	PBES2-PBKDF2-HMAC-SHA256	pkcs8-pbe/pbes2-hmac-sha256-aes256.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha384-aes128	PEM_PKCS8	8	RSA	AES-128-CBC	PBES2-PBKDF2-HMAC-SHA384	pkcs8-pbe/pbes2-hmac-sha384-aes128.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha384-aes256	PEM_PKCS8	8	RSA	AES-256-CBC	PBES2-PBKDF2-HMAC-SHA384	pkcs8-pbe/pbes2-hmac-sha384-aes256.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha512-aes128	PEM_PKCS8	8	RSA	AES-128-CBC	PBES2-PBKDF2-HMAC-SHA512	pkcs8-pbe/pbes2-hmac-sha512-aes128.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha512-aes256	PEM_PKCS8	8	RSA	AES-256-CBC	PBES2-PBKDF2-HMAC-SHA512	pkcs8-pbe/pbes2-hmac-sha512-aes256.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
pem-pkcs8-pbes2-hmac-sha512-224-aes128	PEM_PKCS8	8	RSA	AES-128-CBC	PBES2-PBKDF2-HMAC-SHA512-224	pkcs8-pbe/pbes2-hmac-sha512-224-aes128.pem	passphrase	NEEDS_PASSPHRASE:PEM	SUCCESS	pem-pkcs1-rsa-1024	FROZEN_GENERATED	BC-1.84-JDK21-deterministic-generator	INVALID_PASSPHRASE
